seed,device,total_labels,arm,overall_accuracy,common_accuracy,rare_rule_accuracy,stochastic_pocket_accuracy,active_experts,birth_count,rare_rule_births,stochastic_false_births,surprise_rate,proposal_count,stochastic_rejections,expected_uncertainty_expert_0,rare_switch_margin_mean,stochastic_switch_margin_mean,forward_work,backward_work
4,cuda,512,joint,0.6803333163261414,0.7207285761833191,0.5609756112098694,0.5292307734489441,1,0,0,0,0.1328125,1,0,0.26569037656903766,,,16777,12852
4,cuda,512,environment_oracle,0.9196666479110718,0.9765828251838684,0.9051490426063538,0.5323076844215393,3,0,0,0,0.0,0,0,,,,17048,5760
4,cuda,1024,single,0.8276666402816772,0.9280139207839966,0.5013550519943237,0.48615384101867676,1,0,0,0,0.0,0,0,0.20428015564202334,,,5048,1024
4,cuda,1024,raw_loss,0.8203333020210266,0.9210754632949829,0.46341463923454285,0.510769248008728,2,1,0,0,0.0732421875,1,0,0.45525291828793774,,,46642,41304
4,cuda,1024,expected_only,0.8276666402816772,0.9280139207839966,0.5013550519943237,0.48615384101867676,1,0,0,0,0.1982421875,0,0,0.019455252918287938,,,5048,1024
4,cuda,1024,unvalidated,0.7910000085830688,0.8855160474777222,0.46341463923454285,0.4923076927661896,2,1,0,0,0.04296875,1,0,0.46108949416342415,,,27129,21924
4,cuda,1024,joint,0.8276666402816772,0.9280139207839966,0.5013550519943237,0.48615384101867676,1,0,0,0,0.1201171875,3,1,0.2237354085603113,,-29.456729305084497,65756,59624
4,cuda,1024,environment_oracle,0.8959999680519104,0.9336513876914978,0.9430894255638123,0.5753846168518066,3,0,0,0,0.0,0,0,,,,19096,5760
4,cuda,1536,single,0.8816666603088379,0.9631396532058716,0.6693767309188843,0.5446153879165649,1,0,0,0,0.0,0,0,0.11867704280155641,,,6072,1536
4,cuda,1536,raw_loss,0.8643333315849304,0.9262793064117432,0.7804878354072571,0.5199999809265137,2,1,0,0,0.06966145833333333,1,0,0.4027237354085603,,,48098,41736
4,cuda,1536,expected_only,0.8816666603088379,0.9631396532058716,0.6693767309188843,0.5446153879165649,1,0,0,0,0.19986979166666666,0,0,0.0019455252918287938,,,6072,1536
4,cuda,1536,unvalidated,0.8576666712760925,0.9093669056892395,0.8401083946228027,0.510769248008728,2,1,0,0,0.029296875,1,0,0.3035019455252918,,,28665,22436
4,cuda,1536,joint,0.9096666574478149,0.9622723460197449,0.9105691313743591,0.5353845953941345,2,1,1,0,0.107421875,4,1,0.11867704280155641,8.111297237579079,-29.456729305084497,105335,97716
4,cuda,1536,environment_oracle,0.918666660785675,0.974414587020874,0.9430894255638123,0.4953846037387848,3,0,0,0,0.0,0,0,,,,21144,5760
5,cuda,512,single,0.7269999980926514,0.798001766204834,0.5044247508049011,0.4818941354751587,1,0,0,0,0.0,0,0,0.24708171206225682,,,4024,512
5,cuda,512,raw_loss,0.7269999980926514,0.798001766204834,0.5044247508049011,0.4818941354751587,1,0,0,0,0.125,0,0,0.14,,,4024,512
5,cuda,512,expected_only,0.7269999980926514,0.798001766204834,0.5044247508049011,0.4818941354751587,1,0,0,0,0.166015625,0,0,0.0979020979020979,,,4024,512
5,cuda,512,unvalidated,0.7899999618530273,0.8805387020111084,0.5044247508049011,0.47910863161087036,2,1,0,0,0.166015625,1,0,0.18867924528301888,,,46533,42212
5,cuda,512,joint,0.7269999980926514,0.798001766204834,0.5044247508049011,0.4818941354751587,1,0,0,0,0.166015625,1,0,0.16952789699570817,,,29913,25592
5,cuda,512,environment_oracle,0.8603333234786987,0.9105126261711121,0.9498525261878967,0.45403897762298584,3,0,0,0,0.0,0,0,,,,17048,5760
5,cuda,1024,single,0.8433333039283752,0.945264995098114,0.5398229956626892,0.47632309794425964,1,0,0,0,0.0,0,0,0.21011673151750973,,,5048,1024
5,cuda,1024,raw_loss,0.8840000033378601,0.944830596446991,0.8938053250312805,0.4846796691417694,2,1,0,0,0.1025390625,1,0,0.20817120622568094,,,48958,43704
5,cuda,1024,expected_only,0.8433333039283752,0.945264995098114,0.5398229956626892,0.47632309794425964,1,0,0,0,0.2060546875,0,0,0.0038910505836575876,,,5048,1024
5,cuda,1024,unvalidated,0.7696666717529297,0.8536055684089661,0.5309734344482422,0.45682451128959656,2,1,0,0,0.1044921875,1,0,0.2898832684824903,,,48069,42724
5,cuda,1024,joint,0.8896666765213013,0.947002649307251,0.9144542813301086,0.49860724806785583,2,1,1,0,0.1259765625,3,1,0.22568093385214008,11.133944141570778,-0.025860917862206012,91137,84344
5,cuda,1024,environment_oracle,0.8970000147819519,0.9565595388412476,0.967551589012146,0.4484679698944092,3,0,0,0,0.0,0,0,,,,19096,5760
5,cuda,1536,single,0.8613333106040955,0.9630756378173828,0.5634218454360962,0.49025067687034607,1,0,0,0,0.0,0,0,0.14396887159533073,,,6072,1536
5,cuda,1536,raw_loss,0.8790000081062317,0.9422242045402527,0.8613569140434265,0.49025067687034607,2,1,0,0,0.08268229166666667,1,0,0.12840466926070038,,,50494,44216
5,cuda,1536,expected_only,0.8613333106040955,0.9630756378173828,0.5634218454360962,0.49025067687034607,1,0,0,0,0.21940104166666666,0,0,0.0019455252918287938,,,6072,1536
5,cuda,1536,unvalidated,0.8190000057220459,0.9113814234733582,0.501474916934967,0.5264623761177063,3,2,0,1,0.08463541666666667,2,0,0.22568093385214008,,-29.383883605776887,88118,80776
5,cuda,1536,joint,0.909333348274231,0.9687228798866272,0.9498525261878967,0.49025067687034607,2,1,1,0,0.087890625,3,1,0.13813229571984437,11.133944141570778,-0.025860917862206012,92753,84936
5,cuda,1536,environment_oracle,0.9166666865348816,0.9739357233047485,0.9734513163566589,0.4958217144012451,3,0,0,0,0.0,0,0,,,,21144,5760
6,cuda,512,single,0.7926666736602783,0.8802502155303955,0.5229591727256775,0.5486486554145813,1,0,0,0,0.0,0,0,0.3326848249027237,,,4024,512
6,cuda,512,raw_loss,0.7926666736602783,0.8802502155303955,0.5229591727256775,0.5486486554145813,1,0,0,0,0.08203125,0,0,0.2733050847457627,,,4024,512
6,cuda,512,expected_only,0.7926666736602783,0.8802502155303955,0.5229591727256775,0.5486486554145813,1,0,0,0,0.07421875,0,0,0.27941176470588236,,,4024,512
